"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2021","380.550","381.050","381.275","380.750","","0.00%"
"01/03/2021","380.550","381.080","381.290","380.750","","-0.01%"
"01/02/2021","380.580","381.200","381.350","380.750","","-0.03%"
"01/01/2021","380.700","381.200","381.350","380.250","","0.00%"
"01/12/2020","380.700","381.200","381.350","380.250","","0.00%"
"01/11/2020","380.700","381.200","382.345","380.250","","0.00%"
"01/10/2020","380.700","381.100","381.350","380.250","","0.03%"
"01/09/2020","380.600","381.200","381.350","380.250","","-0.03%"
"01/08/2020","380.700","381.000","381.500","379.500","","0.05%"
"01/07/2020","380.500","360.500","385.500","360.500","","5.69%"
"01/06/2020","360.000","360.500","361.250","360.500","","0.00%"
"01/05/2020","360.000","360.500","361.750","360.250","","0.00%"
"01/04/2020","360.000","360.500","361.500","360.250","","0.00%"
"01/03/2020","360.000","306.400","380.250","305.550","","17.69%"
"01/02/2020","305.900","306.500","307.250","306.400","","-0.03%"
"01/01/2020","306.000","306.500","307.500","305.550","","0.00%"
"01/12/2019","306.000","306.500","307.200","306.350","","0.00%"
"01/11/2019","306.000","306.500","307.450","306.400","","0.00%"
"01/10/2019","306.000","306.450","307.475","306.400","","0.02%"
"01/09/2019","305.950","306.500","307.250","306.300","","-0.02%"
"01/08/2019","306.000","306.300","307.250","306.300","","0.07%"
"01/07/2019","305.800","306.400","307.250","306.300","","-0.03%"
"01/06/2019","305.900","306.400","307.250","306.340","","0.00%"
"01/05/2019","305.900","306.450","314.750","306.340","","-0.02%"
"01/04/2019","305.950","306.400","314.750","304.250","","0.02%"
"01/03/2019","305.900","314.750","314.750","306.300","","0.03%"
"01/02/2019","305.820","307.250","314.750","305.550","","-0.30%"
"01/01/2019","306.750","306.850","314.750","304.750","","-0.08%"
"01/12/2018","307.000","306.280","307.500","304.750","","0.40%"
"01/11/2018","305.780","306.050","314.750","304.750","","0.08%"
"01/10/2018","305.550","305.750","314.750","304.700","","-0.26%"
"01/09/2018","306.350","305.650","314.750","304.600","","0.39%"
"01/08/2018","305.150","305.380","315.250","304.750","","0.09%"
"01/07/2018","304.880","314.750","315.250","304.750","","-0.12%"
"01/06/2018","305.250","306.200","315.250","305.500","","-0.15%"
"01/05/2018","305.700","305.850","315.250","305.450","","0.16%"
"01/04/2018","305.200","315.050","315.250","305.300","","0.02%"
"01/03/2018","305.150","314.750","321.000","305.150","","-0.08%"
"01/02/2018","305.400","314.750","315.250","305.250","","0.07%"
"01/01/2018","305.200","314.750","315.250","305.250","","-0.38%"
"01/12/2017","306.350","314.750","315.250","305.500","","0.28%"
"01/11/2017","305.500","315.250","320.250","305.250","","-0.10%"
"01/10/2017","305.800","314.750","325.250","305.300","","0.02%"
"01/09/2017","305.750","305.800","328.250","305.250","","0.25%"
"01/08/2017","305.000","314.750","315.250","301.750","","-0.21%"
"01/07/2017","305.650","305.320","332.550","305.090","","0.25%"
"01/06/2017","304.880","319.855","327.330","304.750","","0.17%"
"01/05/2017","304.350","305.300","326.800","304.800","","-1.79%"
"01/04/2017","309.895","305.850","323.500","305.000","","1.49%"
"01/03/2017","305.350","304.950","318.500","302.500","","0.30%"
"01/02/2017","304.450","304.750","318.500","304.480","","0.07%"
"01/01/2017","304.250","304.700","319.215","304.500","","0.02%"
"01/12/2016","304.200","304.750","319.500","304.500","","-0.02%"
"01/11/2016","304.250","305.000","329.500","304.500","","-0.08%"
"01/10/2016","304.500","305.000","328.200","304.500","","0.00%"
"01/09/2016","304.500","315.250","340.250","304.750","","-1.77%"
"01/08/2016","310.000","318.500","354.250","306.250","","-2.52%"
"01/07/2016","318.000","282.250","322.250","280.250","","12.88%"
"01/06/2016","281.720","198.980","286.500","198.050","","41.71%"
"01/05/2016","198.800","198.990","199.310","198.050","","0.00%"
"01/04/2016","198.800","198.810","199.300","198.050","","0.00%"
"01/03/2016","198.800","199.250","199.330","198.050","","0.00%"
"01/02/2016","198.800","199.250","199.300","198.050","","0.00%"
"01/01/2016","198.800","199.050","201.050","197.500","","-0.10%"
"01/12/2015","199.000","199.160","199.400","198.020","","0.10%"
"01/11/2015","198.800","198.500","199.380","198.050","","-0.08%"
"01/10/2015","198.960","199.050","199.380","198.050","","-0.01%"
"01/09/2015","198.980","199.050","199.305","197.775","","-0.01%"
"01/08/2015","199.000","199.200","199.400","197.775","","0.03%"
"01/07/2015","198.950","199.000","199.390","197.775","","-0.02%"
"01/06/2015","198.980","199.000","199.240","195.050","","-0.01%"
"01/05/2015","199.000","198.050","199.450","198.050","","0.51%"
"01/04/2015","198.000","199.050","199.100","198.050","","-0.50%"
"01/03/2015","199.000","202.550","202.550","195.050","","-1.73%"
"01/02/2015","202.500","190.500","206.100","187.550","","8.00%"
"01/01/2015","187.500","183.450","194.610","178.550","","2.52%"
"01/12/2014","182.900","178.550","187.450","177.050","","2.46%"
"01/11/2014","178.500","165.550","178.750","165.470","","7.82%"
"01/10/2014","165.550","163.680","166.125","163.550","","1.25%"
"01/09/2014","163.500","161.800","164.450","161.800","","0.80%"
"01/08/2014","162.210","161.740","163.060","160.480","","0.25%"
"01/07/2014","161.800","162.950","163.150","161.200","","-0.68%"
"01/06/2014","162.900","162.630","164.800","161.800","","0.13%"
"01/05/2014","162.690","160.700","163.480","158.320","","1.30%"
"01/04/2014","160.600","164.900","165.075","160.400","","-2.67%"
"01/03/2014","165.000","165.150","165.650","163.550","","0.07%"
"01/02/2014","164.890","162.660","168.000","162.250","","1.40%"
"01/01/2014","162.610","160.050","163.400","158.050","","1.69%"
"01/12/2013","159.900","158.300","161.190","157.900","","0.98%"
"01/11/2013","158.350","158.600","159.700","157.850","","-0.22%"
"01/10/2013","158.700","161.700","162.250","158.150","","-1.55%"
"01/09/2013","161.200","162.150","164.350","159.075","","-0.56%"
"01/08/2013","162.100","160.250","163.700","159.200","","1.00%"
"01/07/2013","160.500","162.500","162.500","159.750","","-1.22%"
"01/06/2013","162.480","158.450","162.600","158.050","","2.77%"
"01/05/2013","158.100","158.100","158.840","157.250","","0.13%"
"01/04/2013","157.900","158.175","159.275","157.180","","-0.35%"
"01/03/2013","158.450","158.250","159.780","157.250","","0.13%"
"01/02/2013","158.250","157.350","158.600","156.750","","0.73%"
"01/01/2013","157.100","156.150","157.500","155.800","","0.64%"
"01/12/2012","156.100","157.500","158.250","156.000","","-0.76%"
"01/11/2012","157.300","157.250","158.600","156.250","","0.18%"
"01/10/2012","157.010","157.650","157.750","156.275","","-0.06%"
"01/09/2012","157.100","158.000","158.600","157.100","","-0.51%"
"01/08/2012","157.900","160.750","161.955","156.350","","-1.62%"
"01/07/2012","160.500","162.550","163.270","157.875","","-1.23%"
"01/06/2012","162.500","159.950","163.600","159.875","","1.82%"
"01/05/2012","159.600","157.130","160.400","156.400","","1.46%"
"01/04/2012","157.300","157.415","159.400","156.775","","-0.29%"
"01/03/2012","157.750","157.250","159.500","156.375","","0.35%"
"01/02/2012","157.200","161.280","161.550","156.100","","-2.30%"
"01/01/2012","160.900","162.200","163.170","159.350","","-0.80%"
"01/12/2011","162.200","161.250","165.250","159.500","","0.62%"
"01/11/2011","161.200","160.000","161.600","155.250","","1.26%"
"01/10/2011","159.200","159.850","167.900","153.850","","-0.41%"
"01/09/2011","159.850","154.600","160.600","152.350","","3.36%"
"01/08/2011","154.650","152.950","156.775","150.925","","1.28%"
"01/07/2011","152.700","152.450","154.050","150.000","","0.16%"
"01/06/2011","152.450","155.300","157.050","151.600","","-2.49%"
"01/05/2011","156.350","156.350","156.350","156.350","","1.10%"
"01/04/2011","154.650","154.650","154.650","154.650","","-0.29%"
"01/03/2011","155.100","155.100","155.100","155.100","","1.17%"
"01/02/2011","153.300","153.300","153.300","153.300","","0.76%"
"01/01/2011","152.150","152.150","152.150","152.150","","0.10%"
"01/12/2010","152.000","152.000","152.000","152.000","","0.76%"
"01/11/2010","150.850","150.850","150.850","150.850","","0.03%"
"01/10/2010","150.800","150.800","150.800","150.800","","-2.30%"
"01/09/2010","154.350","154.350","154.350","154.350","","1.78%"
"01/08/2010","151.650","151.650","151.650","151.650","","1.00%"
"01/07/2010","150.150","150.150","150.150","150.150","","-0.03%"
"01/06/2010","150.200","150.200","150.200","150.200","","-0.69%"
"01/05/2010","151.250","151.250","151.250","151.250","","0.25%"
"01/04/2010","150.875","150.875","150.875","150.875","","0.58%"
"01/03/2010","150.000","150.000","150.000","150.000","","-0.23%"
"01/02/2010","150.350","150.350","150.350","150.350","","-0.38%"
"01/01/2010","150.930","150.930","150.930","150.930","","0.96%"
"01/12/2009","149.500","149.500","149.500","149.500","","0.84%"
"01/11/2009","148.250","148.250","148.250","148.250","","-1.76%"
"01/10/2009","150.900","150.900","150.900","150.900","","2.48%"
"01/09/2009","147.250","147.250","147.250","147.250","","-4.43%"
"01/08/2009","154.075","154.075","154.075","154.075","","-1.77%"
"01/07/2009","156.850","156.850","156.850","156.850","","5.87%"
"01/06/2009","148.150","148.150","148.150","148.150","","0.10%"
"01/05/2009","148.000","148.000","148.000","148.000","","-1.04%"
"01/04/2009","149.550","149.550","149.550","149.550","","0.54%"
"01/03/2009","148.750","148.750","148.750","148.750","","0.51%"
"01/02/2009","148.000","148.000","148.000","148.000","","-0.59%"
"01/01/2009","148.875","148.875","148.875","148.875","","7.88%"
"01/12/2008","138.000","138.000","138.000","138.000","","15.38%"
"01/11/2008","119.600","119.600","119.600","119.600","","1.61%"
"01/10/2008","117.700","117.700","117.700","117.700","","0.06%"
"01/09/2008","117.625","117.625","117.625","117.625","","0.00%"
"01/08/2008","117.625","117.625","117.625","117.625","","-0.13%"
"01/07/2008","117.775","117.775","117.775","117.775","","-0.08%"
"01/06/2008","117.875","117.875","117.875","117.875","","0.04%"
"01/05/2008","117.825","117.825","117.825","117.825","","-0.06%"
"01/04/2008","117.895","117.895","117.895","117.895","","0.71%"
"01/03/2008","117.065","117.065","117.065","117.065","","0.03%"
"01/02/2008","117.025","117.025","117.025","117.025","","-0.78%"
"01/01/2008","117.950","117.950","117.950","117.950","","-0.42%"
"01/12/2007","118.450","118.450","118.450","118.450","","-0.59%"
"01/11/2007","119.150","119.150","119.150","119.150","","-1.69%"
"01/10/2007","121.200","121.200","121.200","121.200","","-3.16%"
"01/09/2007","125.150","125.150","125.150","125.150","","-0.81%"
"01/08/2007","126.175","126.175","126.175","126.175","","-0.69%"
"01/07/2007","127.050","127.050","127.050","127.050","","-0.16%"
"01/06/2007","127.250","127.250","127.250","127.250","","-0.31%"
"01/05/2007","127.650","127.650","127.650","127.650","","0.16%"
"01/04/2007","127.450","127.450","127.450","127.450","","-0.39%"
"01/03/2007","127.950","127.950","127.950","127.950","","-0.23%"
"01/02/2007","128.250","128.250","128.250","128.250","","0.04%"
