ISO3,country,adm1_name,adm2_name,mkt_name,geo_id,price_date,year,month,lat,lon,currency,spatially_interpolated,price_open,price_high,price_low,price_close,trust_score,fuel_inflation_mom,post_subsidy_regime,is_national_avg,spread,momentum,spread_pct,price_close_lag1,price_close_lag3,price_close_lag6,price_close_lag12,rolling_mean_3m,rolling_mean_12m,rolling_std_12m,mom_change_pct,yoy_change_pct,trust_weighted_close,month_sin,month_cos,pelt_regime
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2023-06-01,2023,6,12.09,8.43,NGN,0,226.03,239.18,222.62,239.18,9.8,20.98,1,0,16.560000000000002,13.150000000000006,7.3265,222.14,210.09,253.42,197.7,225.9333333333333,220.40083333333328,23.695766963103285,7.6708,20.9813,2343.9640000000004,3.5897934739308216e-09,-1.0,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2023-07-01,2023,7,12.09,8.43,NGN,0,246.25,265.28,239.43,265.28,9.8,33.31,1,0,25.849999999999966,19.029999999999973,10.4975,239.18,216.48,274.0,199.0,242.19999999999996,225.92416666666668,25.87810673780702,10.9123,33.3065,2599.744,-0.4999999963730056,-0.8660254058784849,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2023-08-01,2023,8,12.09,8.43,NGN,0,274.22,286.61,240.67,240.67,9.8,20.94,1,0,45.940000000000026,-33.55000000000004,16.753,265.28,222.14,213.11,199.0,248.37666666666667,229.39666666666668,24.70603582245857,-9.277,20.9397,2358.5660000000003,-0.8660254013912434,-0.5000000041451357,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2023-09-01,2023,9,12.09,8.43,NGN,0,234.65,252.12,217.17,247.61,9.8,24.43,1,0,34.95000000000002,12.960000000000008,14.8945,240.67,239.18,210.09,199.0,251.18666666666664,233.44750000000002,23.208790311588253,2.8836,24.4271,2426.5780000000004,-1.0,-5.3846893227178126e-09,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2023-10-01,2023,10,12.09,8.43,NGN,0,252.74,272.5,237.37,272.5,9.8,33.98,1,0,35.129999999999995,19.75999999999999,13.8997,247.61,265.28,216.48,203.39,253.59333333333333,239.20666666666668,23.642711478605953,10.0521,33.9791,2670.5,-0.8660254067759328,0.4999999948185802,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2023-11-01,2023,11,12.09,8.43,NGN,0,282.81,297.92,267.7,296.16,9.8,37.11,1,0,30.220000000000027,13.350000000000023,10.6856,272.5,240.67,222.14,216.0,272.09,245.88666666666666,27.499454319654937,8.6826,37.1111,2902.3680000000004,-0.5000000056995626,0.8660254004937946,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2023-12-01,2023,12,12.09,8.43,NGN,0,304.4,367.14,291.41,367.14,9.7,44.88,1,0,75.72999999999996,62.74000000000001,24.8784,296.16,247.61,239.18,253.42,311.93333333333334,255.36333333333334,44.60569986678901,23.9668,44.8741,3561.258,-7.179586947861643e-09,1.0,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2024-01-01,2024,1,12.09,8.43,NGN,0,383.25,438.32,358.38,438.32,9.7,59.97,1,0,79.94,55.06999999999999,20.8584,367.14,272.5,265.28,274.0,367.20666666666665,269.0566666666667,69.25714998642684,19.3877,59.9708,4251.704,0.499999999481858,0.8660254040835881,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2024-02-01,2024,2,12.09,8.43,NGN,0,455.14,488.18,422.09,471.31,9.7,121.16,1,0,66.09000000000003,16.170000000000016,14.5208,438.32,296.16,240.67,213.11,425.59,290.5733333333333,87.89604348664427,7.5265,121.1581,4571.706999999999,0.8660254031861399,0.500000001036284,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2024-03-01,2024,3,12.09,8.43,NGN,0,478.47,505.23,451.72,471.26,9.7,124.31,1,0,53.50999999999999,-7.210000000000036,11.1836,471.31,367.14,247.61,210.09,460.2966666666666,312.33750000000003,97.91871221718925,-0.0106,124.3134,4571.222,1.0,1.7948967369654108e-09,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2024-04-01,2024,4,12.09,8.43,NGN,0,471.72,487.34,456.09,486.37,9.7,124.68,1,0,31.25,14.649999999999977,6.6247,471.26,438.32,272.5,216.48,476.31333333333333,334.8283333333333,104.66284222408754,3.2063,124.672,4717.789,0.8660254049810362,-0.49999999792743216,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2024-05-01,2024,5,12.09,8.43,NGN,0,495.84,505.84,468.92,468.92,9.7,111.09,1,0,36.91999999999996,-26.91999999999996,7.446,486.37,471.31,296.16,222.14,475.51666666666665,355.3933333333334,104.75265232774285,-3.5878,111.0921,4548.523999999999,0.5000000025907099,-0.8660254022886916,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2024-06-01,2024,6,12.09,8.43,NGN,0,471.17,485.61,456.72,485.43,9.7,102.96,1,0,28.889999999999986,14.259999999999991,6.1315,468.92,471.26,367.14,239.18,480.24,375.9141666666667,104.03453993382401,3.5209,102.9559,4708.670999999999,3.5897934739308216e-09,-1.0,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2024-07-01,2024,7,12.09,8.43,NGN,0,500.66,515.46,485.87,493.56,9.7,86.05,1,0,29.590000000000032,-7.100000000000023,5.9102,485.43,486.37,438.32,265.28,482.6366666666667,394.93750000000006,102.82952230180871,1.6748,86.0525,4787.531999999999,-0.4999999963730056,-0.8660254058784849,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2024-08-01,2024,8,12.09,8.43,NGN,0,506.03,518.41,481.57,481.57,9.7,100.1,1,0,36.839999999999975,-24.45999999999998,7.2802,493.56,468.92,471.31,240.67,486.8533333333333,415.0125,93.0218343015132,-2.4293,100.0956,4671.228999999999,-0.8660254013912434,-0.5000000041451357,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2024-09-01,2024,9,12.09,8.43,NGN,0,488.87,503.91,454.72,454.72,9.7,83.64,1,0,49.19,-34.14999999999998,10.062,481.57,485.43,471.26,247.61,476.6166666666666,432.2716666666667,76.96647485441409,-5.5755,83.6436,4410.784,-1.0,-5.3846893227178126e-09,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2024-10-01,2024,10,12.09,8.43,NGN,0,459.37,503.55,439.62,503.55,9.7,84.79,1,0,63.93000000000001,44.18000000000001,13.9169,454.72,493.56,486.37,272.5,479.94666666666666,451.52583333333337,60.50331387743581,10.7385,84.789,4884.4349999999995,-0.8660254067759328,0.4999999948185802,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2024-11-01,2024,11,12.09,8.43,NGN,0,532.75,562.41,503.1,533.7,9.7,80.2,1,0,59.309999999999945,0.9500000000000455,11.1328,503.55,481.57,468.92,296.16,497.3233333333333,471.3208333333334,40.652751323268554,5.9875,80.2066,5176.89,-0.5000000056995626,0.8660254004937946,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2024-12-01,2024,12,12.09,8.43,NGN,0,552.24,576.34,511.27,511.27,9.7,39.26,1,0,65.07000000000005,-40.97000000000003,11.7829,533.7,454.72,485.43,367.14,516.1733333333333,483.33166666666665,25.56680476830468,-4.2027,39.2575,4959.3189999999995,-7.179586947861643e-09,1.0,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2025-01-01,2025,1,12.09,8.43,NGN,0,514.01,537.82,490.2,504.08,9.7,15.0,1,0,47.62000000000006,-9.930000000000007,9.2644,511.27,503.55,493.56,438.32,516.35,488.81166666666667,21.81399668825388,-1.4063,15.0027,4889.575999999999,0.499999999481858,0.8660254040835881,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2025-02-01,2025,2,12.09,8.43,NGN,0,513.85,531.62,468.97,468.97,9.7,-0.5,1,0,62.64999999999998,-44.879999999999995,12.1923,504.08,533.7,481.57,471.31,494.7733333333333,488.61666666666673,21.994383718383997,-6.9652,-0.4965,4549.009,0.8660254031861399,0.500000001036284,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2025-03-01,2025,3,12.09,8.43,NGN,0,471.62,494.69,448.55,473.88,9.7,0.56,1,0,46.139999999999986,2.259999999999991,9.7833,468.97,511.27,454.72,471.26,482.30999999999995,488.83500000000004,21.818727360603862,1.047,0.556,4596.6359999999995,1.0,1.7948967369654108e-09,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2025-04-01,2025,4,12.09,8.43,NGN,0,488.87,507.2,470.53,491.53,9.7,1.06,1,0,36.670000000000016,2.659999999999968,7.501,473.88,504.08,503.55,486.37,478.1266666666667,489.26500000000004,21.816577308426393,3.7246,1.0609,4767.840999999999,0.8660254049810362,-0.49999999792743216,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2025-05-01,2025,5,12.09,8.43,NGN,0,508.56,520.95,496.18,502.44,9.7,7.15,1,0,24.77000000000004,-6.1200000000000045,4.8706,491.53,468.97,533.7,468.92,489.2833333333333,492.0583333333332,21.10928827590242,2.2196,7.1483,4873.668,0.5000000025907099,-0.8660254022886916,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2025-06-01,2025,6,12.09,8.43,NGN,0,515.48,524.21,506.75,512.11,9.7,5.5,1,0,17.460000000000036,-3.3700000000000045,3.3871,502.44,473.88,511.27,485.43,502.02666666666664,494.2816666666666,21.743209110530174,1.9246,5.4962,4967.467,3.5897934739308216e-09,-1.0,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2025-07-01,2025,7,12.09,8.43,NGN,0,524.14,532.18,513.87,513.87,9.7,4.11,1,0,18.309999999999945,-10.269999999999982,3.4933,512.11,491.53,504.08,493.56,509.47333333333336,495.9741666666666,22.460563199582165,0.3437,4.115,4984.539,-0.4999999963730056,-0.8660254058784849,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2025-08-01,2025,8,12.09,8.43,NGN,0,523.29,533.16,513.39,513.39,9.7,6.61,1,0,19.769999999999982,-9.899999999999977,3.778,513.87,502.44,468.97,481.57,513.1233333333333,498.6258333333333,22.4837336992904,-0.0934,6.6076,4979.883,-0.8660254013912434,-0.5000000041451357,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2025-09-01,2025,9,12.09,8.43,NGN,0,522.47,533.41,511.53,524.83,9.7,15.42,1,0,21.879999999999995,2.3600000000000136,4.1878,513.39,512.11,473.88,454.72,517.3633333333333,504.4683333333333,18.853549380486008,2.2283,15.4183,5090.851,-1.0,-5.3846893227178126e-09,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2025-10-01,2025,10,12.09,8.43,NGN,0,537.6,613.87,527.12,613.87,9.7,21.91,1,0,86.75,76.26999999999998,16.1365,524.83,513.87,491.53,503.55,550.6966666666667,513.6616666666667,36.759281285221846,16.9655,21.9085,5954.539,-0.8660254067759328,0.4999999948185802,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2025-11-01,2025,11,12.09,8.43,NGN,0,649.56,690.38,608.73,669.37,9.7,25.42,1,0,81.64999999999998,19.81000000000006,12.57,613.87,513.39,502.44,533.7,602.69,524.9675,58.13259156680294,9.041,25.4206,6492.888999999999,-0.5000000056995626,0.8660254004937946,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2025-12-01,2025,12,12.09,8.43,NGN,0,689.45,727.55,635.98,635.98,9.7,24.39,1,0,91.56999999999994,-53.47000000000003,13.2816,669.37,524.83,512.11,511.27,639.74,535.36,66.06710445379827,-4.9883,24.3922,6169.005999999999,-7.179586947861643e-09,1.0,2
NGA,Nigeria,Kano,Dawakin Tofa,Dawanau,gid_12090000084300000,2026-01-01,2026,1,12.09,8.43,NGN,0,630.75,664.79,580.94,580.94,9.7,15.25,1,0,83.84999999999991,-49.809999999999945,13.2937,635.98,613.87,513.87,504.08,628.7633333333333,541.765,66.48328217748359,-8.6544,15.2476,5635.118,0.499999999481858,0.8660254040835881,2
